Number,Spanish,English
295,hice,I did
296,pues,well
297,adiós,bye
298,muchas,many
299,personas,people
300,señora,Mrs
301,volver,return
302,esas,those
303,quizá,Maybe
304,contra,against
305,camino,road
306,durante,during
307,hablando,talking
308,manera,way
309,muerto,dead
310,persona,person
311,rápido,Quick
312,cuál,which
313,ayuda,aid
314,historia,history
315,iba,I was going
316,supongo,I guess
317,nueva,new
318,entiendo,I get it
319,dentro,within
320,casi,almost
321,puerta,gate
322,ves,you see
323,pasar,spend
324,primero,first
325,significa,it means
326,semana,week
327,hacia,towards
328,quizás,maybe
329,espero,wait
330,juntos,together
331,año,year
332,niños,kids
333,pronto,early
334,tío,uncle
335,suerte,luck
336,ciudad,city
337,siquiera,even
338,feliz,happy
339,venir,to come
340,hija,daughter
341,gustaría,would like
342,minutos,minutes
343,cuánto,how many
344,os,you
345,hey,Hey
346,muerte,death
347,dejar,let
348,realidad,reality
349,deja,let
350,problemas,problems
351,vi,saw
352,da,gives
353,importante,important
354,dijiste,said
355,corazón,heart
356,miedo,fear
357,jefe,boss
358,agua,Water
359,haré,I will do
360,justo,just
361,horas,hours
362,poder,can
363,buenos,good ones
364,esposa,wife
365,manos,hands
366,debes,you should
367,viene,comes
368,venga,come on
369,nuestros,our
370,ojos,eyes
371,adelante,ahead
372,encontrar,find
373,mano,hand
374,cinco,five
375,niño,little boy
376,ninguna,none
377,otros,others
378,cara,expensive
379,cuidado,watch out
380,bajo,bass
381,cerca,close
382,viejo,old
383,déjame,let me
384,noches,nights
385,bastante,Quite
386,fin,finish
387,tomar,drink
388,único,unique
389,misma,same
390,escucha,listen
391,ningún,none
392,suficiente,enough
393,punto,point
394,cuándo,when
395,sigue,follow
396,haya,is
397,equipo,equipment
398,grande,great
399,necesita,needs to
400,llegar,get
401,incluso,even
402,algunos,Some
403,doctor,doctor
404,difícil,hard
405,aunque,though
406,hubiera,had
407,primer,first
408,coche,car
409,hago,I make
410,clase,class
411,cuatro,four
412,mas,plus
413,dices,You say
414,pequeño,little
415,llama,call
416,toma,taking
417,hiciste,did
418,allá,there
419,última,last
420,arriba,up
421,tierra,Earth
422,guerra,war
423,pensar,to think
424,pueda,I can
425,igual,Same
426,loco,crazy
427,sangre,blood
428,mujeres,women
429,vuelta,lap
430,fui,I was
431,trabajar,to work
432,tenido,Dyed
433,juego,play
434,deberías,you should
435,cuerpo,Body
436,e,and
437,algunas,some
438,entrar,get in
439,cree,Believe
440,podía,could
441,debemos,must
442,oportunidad,chance
443,teléfono,telephone
444,necesitamos,need
445,final,final
446,listo,clever
447,fiesta,party
448,muchos,Many
449,estabas,You were
450,quieren,They want
451,vete,go away
452,auto,auto
453,dar,to give
454,vivir,to live
455,posible,possible
456,ok,okay
457,hermana,sister
458,número,number
459,meses,months
460,exactamente,exactly
461,culpa,fault
462,abajo,down
463,escuela,school
464,ido,gone
465,fuerte,strong
466,diciendo,saying
467,habla,speech
468,esté,East
469,ello,it
470,pregunta,Question
471,chicas,girls
472,eran,were
473,unas,nail
474,pasando,going
475,atrás,behind
476,malo,bad
477,capitán,captain
478,sra.,mrs
479,bebé,baby
480,segundo,second
481,sabemos,we know
482,mayor,elderly
483,comida,food
484,morir,To die
485,conozco,know
486,dame,give to me
487,fácil,easy
488,comer,to eat
489,vino,came
490,lista,ready
491,haga,make
492,necesitas,you need
493,hijos,sons
494,probablemente,probably
495,padres,fathers
496,habitación,room
497,creer,believe
498,pensando,thinking
499,fueron,were
500,dime,tell me
